place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Loja	Loja	se kort.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	high	se-kort	
Lom	Lom-Palanka	Lom; se kort.	1842	1842	14	En Digters Bazar	517	1	v14:517 (1842)	high	se-kort	geo-729581
Lombarder Slette	Lombarder Slette	Posletten omkring floden Po (se kort), der danner Lombardiets sydlige grænse.	1842	1842	14	En Digters Bazar	262	1	v14:262 (1842)	high	se-kort+place-type	
Lombardiet	Lombardiet	region i Norditalien beliggende mellem Lago Maggiore og Gardasøen i nord og Pofloden i syd.	1835	1835	14	Søndagsblad. Et æsthetisk Ugeskrift	200	1	v14:200 (1835)	high	head-noun+located+place-type	
Lorelei	Loreley | Lore-Ley	Lorelei; 132 m højt, næsten lodret klippeparti ved Rhinen; personificeret som en fortryllende og forførende kvinde, der if. sagnet lokkede sejlende (mænd) i døden. ¶ Lorelei; 132 m højt, næsten lodret klippeparti ved Rhinen. Gennem kunsteventyr og sagn er Lorelei blevet personificeret som en fortryllende og forførende kvinde, der lokkede sejlende (mænd) i døden. Fremtrædende behandlinger af Lorelei-figuren findes i Clemens Maria Brentanos (1778-1842) digt »Zu Bacharach am Rheine« fra den anonymt udgivne roman Godwi oder Das steinerne Bild der Mutter. Ein verwilderter Roman, 1801-1802 (2. del, 36. kapitel) og Heinrich Heines (1797-1856) digt »Ich weiß nicht, was soll es bedeuten«, der blev trykt i Der Gesellschafter oder Blätter für Geist und Herz, 26. marts 1824. ¶ Lorelei; 132 m højt, næsten lodret klippeparti ved Rhinen.	1851	1851 1855	8 15 17	I Sverrig	123	3	v15:123 (1851); v17:110 (1855); v8:515 ()	medium	located	
lothian	(Øst)lothian	landskab i Mellemskotland.	1832	1832	10	Bruden fra Lammermoor	162	1	v10:162 (1832)	high	head-noun+located+place-type	
Louis Jürgensen	Louis Jürgensen	formentlig Jules Jürgensen, bror til Louis Urban Jørgensen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	329	1	v18:329 (1869)	medium	located	
Lucca	Lucca	by nordvest for Firenze.	1837	1837	5	Kun en Spillemand	262	1	v5:262 (1837)	high	head-noun+located+place-type	
Ludwigs-Kanal	Main og Donau-Canalen	Ludwigs-Kanal; kanal mellem Bamberg og Kelheim (se kort), der blev bygget 1836-1846 og forbandt floderne Main og Donau.	1842	1842	14	En Digters Bazar	246	1	v14:246 (1842)	high	se-kort+head-noun+located+place-type	
Ludwigslust	Ludwigslüst	Ludwigslust; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	183	1	v14:183 (1831)	high	se-kort	geo-2875343
Lykkesholm	Lykkesholm	hovedgård i Vindinge Herred ca. 14 km sydvest for Nyborg; ejeren var justitsrådinde Johanne Lindegaard. H.C. Andersen kom der især 1835-1839. ¶ Lykkesholm Slot i Ørbæk, 14 km sydvest for Nyborg, hvor H.C. Andersen var kommet siden 1832 og især 1835-1839 var en flittig gæst.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	245	2	v16:245 (1846); v17:187 (1855)	high	head-noun+located+place-type	
Lyneborg Sand	Lyneborg Sand	den Lüneburgske Hede i Nordtyskland.	1836	1836	4	O. T.	435	1	v4:435 (1836)	high	head-noun+located+place-type	
Lübeck	Lübeck	by i det østlige Holsten, nord for Hamburg. ¶ se kort.	1831	1831 1842	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	67	2	v14:67 (1831); v14:230 (1842)	high	in-register+head-noun+place-type+se-kort	geo-2875601
Lüneburger Heide	lyneborgske Hede	Lüneburger Heide, delvist skovklædt hedelandskab i Niedersachsen syd for Hamborg.	1842	1842	14	En Digters Bazar	221	1	v14:221 (1842)	medium	located+place-type	geo-2875111
Macao	Macao	portugisisk koloni på Kinas sydkyst 60 km vest for Hongkong.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	medium	located+place-type	
Madrid	Madrid	se kort. ¶ Spaniens hovedstad beliggende ca. 215 km syd for Burgos i det centrale højland.	1863	1863 1868	15	I Spanien	251	2	v15:251 (1863); v15:423 (1868)	high	se-kort+located+place-type	
Magdeburg	Magdeburg	se kort.	1842	1842	14	En Digters Bazar	576	1	v14:576 (1842)	high	in-register+se-kort	geo-2874545
Maidstone	Maidstone	by mellem London og havnebyen Folkstone vest for Dover.	1860	1860	15	Berlingske politiske Avertissements-Tidende	183	1	v15:183 (1860)	high	head-noun+located+place-type	
Main	røde og hvide … Rhin	Main, som er biflod til Rhinen, begynder, hvor Weißer Main (med udspring i Ochsenkopf) løber sammen med Roter Main (med udspring i Fränkischen Alb, syd for Bayreuth).	1842	1842	14	En Digters Bazar	238	1	v14:238 (1842)	medium	located+place-type	
Maleas	Cap Malio	Maleas; se kort.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Malta	Malta	se kort. ¶ H.C. Andersen opholdt sig her 17.-18. marts 1841.	1842	1842	14	En Digters Bazar	351	2	v14:351 (1842); v14:361 (1842)	high	in-register+se-kort	geo-2562772
Maltheserridderne paa Rhodos	Maltheserridderne paa Rhodos	1309-1523 havde johanniterne hovedsæde på Rhodos. Her opførte de med held et fort og en flåde til beskyttelse af skibe mod tyrkiske angreb; flåden måtte dog til sidst overgive sig.	1842	1842	14	En Digters Bazar	364	1	v14:364 (1842)	medium	located	
Malvina	Malvina	navnet på skjalden Ossians afdøde søns elskede i Ossian-digtningen. Den keltiske sagnfigur Ossian er især kendt fra James Macphersons epos fra 1700-tallet. St. St. Blichers udgav i 1807-1809 sin oversættelse, Ossian 1-2; Digte af Ossian 1-2 ved F.L. Mynster udkom 1850.	1864	1864	13	Han er ikke fødtadelig af fødsel.født	436	1	v13:436 (1864)	medium	located	
Mansfeld	Mansfeld	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	128	1	v14:128 (1831)	high	in-register+se-kort	geo-2873852
Mantova	Mantua	Mantova; se kort.	1842	1842	14	En Digters Bazar	262	1	v14:262 (1842)	high	se-kort	geo-3174051
Manzanares	Manzanares	flod, der løber på vestsiden af slottet og Campo del Moro.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	head-noun+place-type	
Marathons Slette	Marathons Slette	på denne slette i Grækenland besejrede en talmæssigt underlegen athensk styrke en persisk invasionsstyrke i 490 f.Kr.	1851	1851	15	I Sverrig	54	1	v15:54 (1851)	medium	located+place-type	
mare di marmora	mare di marmora	(italiensk) marmorhavet; Marmarahavet.	1842	1842	14	En Digters Bazar	453	1	v14:453 (1842)	high	head-noun+place-type	
Maria della Pace	Maria della Pace	(italiensk) fredens Maria, kirke vest for Piazza Navona.	1837	1837	5	Kun en Spillemand	262	1	v5:262 (1837)	medium	located+place-type	
Marie Bunkeflod	hans Enke og Søster | Madam Bunkeflod | Madam Bunkeflod og hendes Mands Søster	Marie Bunkeflod, som var enke efter digterpræsten Hans Christian Bunkeflod, boede sammen med sin svigerinde i de såkaldte Eilschous Boliger, en stiftelse for borgerskabets enlige, trængende kvinder. Stiftelsen lå i Munkemøllestræde over for H.C. Andersens barndomshjem. ¶ Marie Bunkeflod, f. Petersen, enke efter sognepræsten ved St. Hans Kirke, digteren Hans Christian Bunkeflod. Hun boede sammen med sin mands søster Anna Margrethe Bunkeflod. ¶ Marie Bunkeflod, som var enke efter digterpræsten Hans Christian Bunkeflod, boede sammen med sin svigerinde i de såkaldte Eilschous Boliger, en stiftelse oprettet 1776-1781 for borgerskabets enlige, trængende kvinder; stiftelsen lå i Munkemøllestræde over for H.C. Andersens barndomshjem.	1832	1832 1846 1855	16 17	Levnedsbog	63	3	v16:63 (1832); v16:187 (1846); v17:25 (1855)	high	head-noun+place-type+located	
Mariehøi … hos Bogtrykker Iversens Enke	Mariehøi … hos Bogtrykker Iversens Enke	landstedet Mariehøj (Tolderlund) ved kanalen nord for Odense, hvor H.C. Andersen tilbragte tre uger hos Kirstine Marie Iversen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	86	1	v17:86 (1855)	medium	located+place-type	
Marienlyst	Marienlyst	slot nord for Helsingør, nu bymuseum. ¶ Marienlyst Slot. Tidligere lystslot beliggende i Helsingør. Opført ca. 1588 for Frederik 2., udbygget 1759-1763. Indtil 1766, hvor enkedronning (efter Frederik 5.) Juliane Marie overtog slottet, hed det Lundehave. I 1851 overtog Helsingør Kommune slottet, der siden 1930 har været museum.	1826	1826 1832	14 16	Nyeste Skilderie af Kjøbenhavn	49	2	v14:49 (1826); v16:129 (1832)	high	head-noun+located+place-type	
Mariestad	Mariestad(s)	se kort 2.	1851	1851	15	I Sverrig	24	1	v15:24 (1851)	high	se-kort	
Maritana	Maritana	gadesangersken i Don César de Bazan, 1844, lystspil af de franske dramatikere Philippe François Pinel Dumanoir og D’Ennery (egl. Adolphe Philippe); dansk Don Cæsar de Bazan, oversat af N.C.L. Abrahams, opført på Det Kongelige Teater 1846.	1850	1850	13	Ole Lukøie	68	1	v13:68 (1850)	medium	located	
Marmorhavet	Marmorhavet	Marmarahavet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	high	head-noun+place-type	
Marmorkirken	Marmorkirken	Frederikskirken henlå af økonomiske grunde ufuldført, indtil C.F. Tietgen tog initiativ til kirkens fuldførelse i 1874.	1836	1836	4	O. T.	530	1	v4:530 (1836)	high	head-noun+place-type	
Marmorkirken reiste sig fuldført	Marmorkirken reiste sig fuldført	Marmorkirken eller Frederiks Kirke {E8} blev grundlagt 1749, men arbejdet standset 1770 på grund af stigende priser på marmor. Bygningen henlå indtil C.F. Tietgen (1829-1901) i 1874 købte den og lod den fuldføre, dog mindre end oprindelig planlagt. Kirken i dens endelige form blev indviet 1894.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	181	1	v9:181 (1829)	high	head-noun+place-type	
Marmorøen	Marmorøen	se kort; der har været marmorbrud på øen siden antikken, hvilket har givet havet dets navn (af græsk, marmaros).	1842	1842	14	En Digters Bazar	452	1	v14:452 (1842)	high	se-kort+place-type	
Marnäs	Marnäs	se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
Maruzzé	Maruzzé	(Marusi) i dag del af Athen; se kort.	1842	1842	14	En Digters Bazar	404	1	v14:404 (1842)	high	se-kort	
Masanasa	Masanasa	uvis betydning; muligvis Massanassa, navn på landsby ca. 6 km syd for Valencia.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	medium	located+place-type	
Maurerpigen	Maurerpigen	stykket havde premiere på Det Kgl. Teater 18. december 1840, samme dag som H.C. Andersens overnatning i Civita Castellana, men spillede kun tre gange. Det udkom i bogform 19. december.	1842	1842	14	En Digters Bazar	293	1	v14:293 (1842)	medium	located	
Maxen	Maxen	godset Maxen ved Dresden tilhørte major Friedrich Anton Serre og dennes familie, som H.C. Andersen fra 1844 jævnligt besøgte.	1863	1863	3	Bemærkninger	373	1	v3:373 (1863)	high	head-noun+place-type	
Mecca	Mecca	by i Saudi-Arabien, Muhammeds fødeby og islams helligste sted.	1842	1842	14	En Digters Bazar	450	1	v14:450 (1842)	high	head-noun+located+place-type	
Mecklenburg	Mechlenburg(s)	Mecklenburg; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	183	1	v14:183 (1831)	high	se-kort	
Med Lov skal bygges	Med Lov skal bygges	ordene »Med lov skal land bygges« indleder fortalen til Jyske Lov, der blev udstedt 1241 af Valdemar 2. Sejr.	1807	1807	12	Lykkens Blomst	109	1	v12:109 (1807)	medium	located	
med sin Ruin	med sin Ruin	den nævnte ruin er efter en borg, der blev opført i 1200-tallet. Fra begyndelsen af 1500-tallet blev borgen ikke længere benyttet og forfaldt derfor.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	167	1	v14:167 (1831)	high	head-noun+place-type	
Mediatstadt	Mediatstadt	(tysk) mediatby; by, der ikke var direkte underlagt kejseren, men en mediat, dvs. en fyrste, der igen var underlagt en højerestående fyrste.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	128	1	v14:128 (1831)	high	head-noun+place-type	
Medina	Medina	arabisk by hvortil Muhammed og hans menighed udvandrede 622 og dermed skabte den første islamiske stat.	1842	1842	14	En Digters Bazar	469	1	v14:469 (1842)	medium	located+place-type	
Medinya	Medina	Medinya, ca. 7 km nord for Gerona, se kort.	1863	1863	15	I Spanien	225	1	v15:225 (1863)	high	se-kort	
Mehadia	Mehadia	se kort. H.C. Andersen opgav dog turen pga. maveonde og nåede aldrig dertil, jf. Dagbøger II, s. 225.	1842	1842	14	En Digters Bazar	533	1	v14:533 (1842)	high	se-kort	
Meisling … som Rector	Meisling … som Rector	Meisling blev 16. juli 1823 i Klosterkirken i Slagelse indsat i rektorembedet af biskop Friederich Christian Carl Heinrich Münter.	1832	1832	16	Levnedsbog	102	1	v16:102 (1832)	medium	located+place-type	
Meissen	Meissen	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	140	1	v14:140 (1831)	high	se-kort	
Mel. af … Ernani	Mel. af … Ernani	af Elviras kavatine i I,4 af G.Verdis opera Ernani, 1844, med tekst af F.M. Piave; opført på Hofteatret af italienske sangere 1846. Elvira synger: »Tutto sprezzo che d’Ernani non favella a questo core« (takt 122 ff.). Trykt klaverpartitur til Ernani findes.	1851	1851	13	HyldemoerH.C. Andersen skriver i de »Bemærkninger«, som afsluttede <i>Eventyr og Historier. Andet Bind</i>, 1863 (BFN 974), at kimen til eventyret »Hyldemoer« »ligger i det af <i>Thiele</i> fortalte Sagn: »Der boer i Hyldetræet et Væsen, som kaldes Hyldemo’er, eller Hyldeqvind. Hun hevner al Overlast, der tilføies Træet ... ««(jf. denne udgaves bd. 3, s. 372 samt Thiele 2, 2, s. 282 ff.).Hyldemoer	115	1	v13:115 (1851)	medium	located	
Mel. … Kjølige Druer	Mel. … Kjølige Druer	»Fin ch’han dal vino«, arie fra I,15 af W.A. Mozarts opera Don Giovanni, 1787; libretto af L. da Ponte; dansk Don Juan, oversat af Laurids Kruse, opført på Det Kongelige Teater 1807. Trykte noder: Rung bd. 1, s. 63; klaverpartitur til Don Giovanni findes. E-noder: Don Juan.	1836	1836	11	Skilles og mødes	176	1	v11:176 (1836)	medium	located+place-type	
Mem	Mem	by ved Göta kanals udmunding i Slätbaken, som fører ud i Østersøen (se kort 2). Her blev kanalen indviet i 1832.	1851	1851	15	I Sverrig	51	1	v15:51 (1851)	high	se-kort+head-noun+located+place-type	
Merseburg	Merseburg	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	131	1	v14:131 (1831)	high	in-register+se-kort	geo-2871736
Michel Levin	Jøden under Træet	Michel Levin, der i over 50 år optrådte som visesanger på Dyrehavsbakken.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	50	1	v17:50 (1855)	medium	located	
Mietau	Mietau	byen Mitau i Kurland, område i Letland.	1837	1837	5	Kun en Spillemand	154	1	v5:154 (1837)	high	head-noun+place-type	
Milan	Milan	(1819-1839), serbisk fyrste i 25 dage i 1839.	1842	1842	14	En Digters Bazar	524	1	v14:524 (1842)	high	in-register	geo-3173435
Milos	Melos	Milos; se kort.	1842	1842	14	En Digters Bazar	377	1	v14:377 (1842)	high	se-kort	
Min Biograph i »Dansk Pantheon«	Min Biograph i »Dansk Pantheon«	kritikeren P.L. Møller havde i XXX. Levering af Dansk Pantheon, juni 1845, givet en smuk karakteristik af H.C. Andersen, som medbragte et eksemplar af den på rejsen i 1846 og benyttede den under undarbejdelsen af selvbiografien.	1846	1846	16	Mit eget Eventyr uden Digtning	264	1	v16:264 (1846)	medium	located	
min Fest i Odense	min Fest i Odense	i forbindelse med H.C. Andersens udnævnelse til æresborger i Odense den 6. december 1867.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	354	1	v18:354 (1869)	medium	located	
Min fyenske Landsmand	Min fyenske Landsmand	Lumbye blev født i København, men flyttede som 12-årig med sin far til Odense.			8	Af	273	1	v8:273 ()	medium	located+place-type	
Minaret	Minaret(en) | Minaret(er) | Minaret(erne)	tårn ved den muslimske moske, hvorfra der kaldes til bøn. ¶ tårn ved en moske, hvorfra der kaldes til bøn.	1840	1840 1842 1855	11 14 17	Maurerpigen	484	3	v11:484 (1840); v14:441 (1842); v17:343 (1855)	high	head-noun+place-type	
Minturna	Minturna	oldtidsby i Latium, dvs. slettelandet sydvest for Tiberen; kontrollerede broen over Liris på den romerske Via Appia.	1835	1835	4	Improvisatoren	210	1	v4:210 (1835)	high	head-noun+located+place-type	
Minuri og Majurí	Minuri og Majurí	Minori og Majori, to tætliggende byer lige syd for Amalfi.	1835	1835	4	Improvisatoren	265	1	v4:265 (1835)	medium	located+place-type	
mit Creditiv var endnu ikke indtruffet	mit Creditiv var endnu ikke indtruffet	Jonas Collin havde 28. april 1846 afsendt et kreditiv på 500 rigsdaler til H.C. Andersen, der modtog det 18. maj; det havde da ligget hos Karl Rothschild siden 13. maj. Karl Rothschild var leder af Rothschild-husets Napoli-afdeling.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	333	1	v17:333 (1855)	medium	located	
Mitilini	Mytilene	Mitilini, hovedstad på Lesbos; se kort.	1842	1842	14	En Digters Bazar	444	1	v14:444 (1842)	high	se-kort	
Modena	Modena	se kort.	1842	1842	14	En Digters Bazar	265	1	v14:265 (1842)	high	in-register+se-kort	geo-3173331
Mohács	Mohács	se kort.	1842	1842	14	En Digters Bazar	548	1	v14:548 (1842)	high	in-register+se-kort	geo-3047967
Mola di Gaeta	Mola di Gaeta	befæstet forstad til Gaeta mellem Terracina og Napoli.	1835	1835	4	Improvisatoren	200	1	v4:200 (1835)	high	in-register+located+place-type	place-000077
Moldava Veche	Moldava	Moldava Veche, syd for Moldava Noua; se kort.	1842	1842	14	En Digters Bazar	542	1	v14:542 (1842)	high	se-kort	
Mondegoflod	Mondegoflod	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Mont Serrat	Mont Serrat	bjerg nordvest for Barcelona, hvis navn kan betyde savtakket bjerg (latin) el. helligt bjerg (catalansk). Bjerget er pilgrimsmål især pga. benediktinerklosterets sorte Madonnastatue, som ifølge traditionen er skåret af sankt Lukas.	1863	1863	15	I Spanien	240	1	v15:240 (1863)	high	head-noun+located+place-type	
Monte Arrabida	Monte Arrabida	se kort.	1868	1868	15	Et Besøg i Portugal 1866	445	1	v15:445 (1868)	high	se-kort	
Monte Cavo	monte cave | Monte cavo | monte cavo	Monte Cavo, det højeste bjerg i Albanerbjergene. ¶ egentlig det højeste bjerg i Albanerbjergene; her nok vin fra dette område. ¶ Monte Cavo; det højeste bjerg i Albanerbjergene.	1835	1835 1836	4 7 8	Improvisatoren	80	3	v4:80 (1835); v7:500 (1836); v8:124 ()	high	located+place-type+head-noun	
monte Mario	monte Mario | monte mario	bjerg nordvest for Rom.	1835	1835 1842	4 14	Improvisatoren	183	2	v4:183 (1835); v14:295 (1842)	high	in-register+head-noun+located+place-type	place-000069
