place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Fiskeren	Fiskeren	de to historier om fiskeren og ånden findes i Tusind og én nat.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	220	1	v9:220 (1829)	medium	located	
Fjaltring	Fjaltring	landsby syd for Bovbjerg.	1860	1860	2	En Historie fra Klitterne	311	1	v2:311 (1860)	high	head-noun+located+place-type	
Flensborg … godt klædt	Flensborg … godt klædt	den sønderjyske købstad, som dengang var dansk, og hvis indbyggere i hovedsagen var dansksindede op til 1848, var kommet godt på fode efter krigen 1807-1814; efter 1848 gik det tilbage for byen.	1842	1842	11	Fuglen i Pæretræet	550	1	v11:550 (1842)	high	head-noun+place-type	
Flodnymphen Donau og Flodguden Main	Flodnymphen Donau og Flodguden Main	kanalen blev indviet 1846 i Erlangen (se kort) foran dette monument, der forestiller de personificerede floder, der rækker hinanden hånden. Det er tegnet af Klenze og udført af Schwanthaler.	1842	1842	14	En Digters Bazar	246	1	v14:246 (1842)	high	se-kort+head-noun+located+place-type	
Florentin	Florentin	se kort.	1842	1842	14	En Digters Bazar	519	1	v14:519 (1842)	high	in-register+se-kort	geo-731593
Florents	Florents	tysk for Firenze; se kort.	1861	1861	15	Dagbladet	215	1	v15:215 (1861)	high	se-kort	
Flugten satte … Thorvaldsen’s Konstværker	Flugten satte … Thorvaldsen’s Konstværker	Bellona havde i 1835 været på togt til Middelhavet og bl.a. hjembragt en række af Thorvaldsens værker; dog er der ikke, som H.C. Andersens anfører, tale om »den første Ladning« af Thorvaldsens værker, flådens skibe havde allerede siden 1825 bragt flere af Thorvaldsens værker til København.			8	(untitled)	29	1	v8:29 ()	medium	located+place-type	
Fluvia	Fluvia	se kort.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	high	se-kort	
Fokaia	ny Phocea	Fokaia; se kort; jonisk (oldgræsk folk i centrale Lilleasien, nuværende Tyrkiet) bystat, hvis indbyggere bl.a. skabte kolonien Massalia (senere Marseille) ca. 600 f.Kr.	1842	1842	14	En Digters Bazar	444	1	v14:444 (1842)	high	se-kort	
Foligno	Foligno	den mellemitalienske by Foligno (Fuligno).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	high	head-noun+place-type	
Fondi	Fondi	mindre by syd for Terracina. ¶ se kort.	1835	1835 1842	4 14	Improvisatoren	206	2	v4:206 (1835); v14:340 (1842)	high	in-register+head-noun+located+place-type+se-kort	geo-3176843
forhen stod	forhen stod	Gråbrødre Kirke blev nedrevet 1817-1819.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	58	1	v14:58 (1829)	high	head-noun+place-type	
Forli	Forli	se kort.	1842	1842	14	En Digters Bazar	293	1	v14:293 (1842)	high	se-kort	
Forum	Forum	torv, her måske: mødeplads. ¶ (latin) torv, forsamlingsplads.	1842	1842	14	En Digters Bazar	285	2	v14:285 (1842); v14:520 (1842)	high	head-noun+place-type	
Fos	Fos(sens)	vandfald.	1822	1822	9	Ungdoms-Forsøg	80	1	v9:80 (1822)	high	head-noun+place-type	
